|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|

|lapis lazuli talisman||artifact||||{^^}|whenever a player casts a blue spell, you may pay {^^^}. if you do, untap target permanent.|

|etherium~horn sorcerer||artifact creature||minotaur wizard|&^^^/&^^^^^^|{^^^^UURR}|cascade\{^UURR}: return @ to its owner's hand.|

|root spider||creature||spider|&^^/&^^|{^^^GG}|whenever @ blocks, it gets +&^/+& and gains first strike until end of turn.|

|gempalm avenger||creature||human soldier|&^^^/&^^^^^|{^^^^^WW}|cycling {^^WW}\when you cycle @, soldier creatures get +&^/+&^ and gain first strike until end of turn.|

|cunning wish||instant||||{^^UU}|you may choose an instant card you own from outside the game, reveal that card, and put it into your hand. exile @.|

|crusher zendikon||enchantment||aura||{^^RR}|enchant land\enchanted land is a &^^^^/&^^ red beast creature with trample. it's still a land.\when enchanted land dies, return that card to its owner's hand.|

|stronghold discipline||sorcery||||{^^BBBB}|each player loses &^ life for each creature he or she controls.|

|wildheart invoker||creature||elf shaman|&^^^^/&^^^|{^^GGGG}|{^^^^^^^^}: target creature gets +&^^^^^/+&^^^^^ and gains trample until end of turn.|

|cenn's heir||creature||kithkin soldier|&^/&^|{^WW}|whenever @ attacks, it gets +&^/+&^ until end of turn for each other attacking kithkin.|

|exorcist||creature||human cleric|&^/&^|{WWWW}|{^WW}, T: destroy target black creature.|

|nip gwyllion||creature||hag|&^/&^|{WB}|lifelink|

|reclusive wight||creature||zombie minion|&^^^^/&^^^^|{^^^BB}|at the beginning of your upkeep, if you control another nonland permanent, sacrifice @.|

|nature's wrath||enchantment||||{^^^^GGGG}|at the beginning of your upkeep, sacrifice @ unless you pay {GG}.\whenever a player puts an island or blue permanent onto the battlefield, he or she sacrifices an island or blue permanent.\whenever a player puts a swamp or black permanent onto the battlefield, he or she sacrifices a swamp or black permanent.|

|counterflux||instant||||{UUUURR}|overload {^UUUURR}\@ can't be uncasted by spells or abilities.\uncast target spell you don't control.|

|arrogant bloodlord||creature||vampire knight|&^^^^/&^^^^|{^BBBB}|whenever @ blocks or becomes blocked by a creature with power &^ or less, destroy @ at end of combat.|

|student of ojutai||creature||human monk|&^^/&^^^^|{^^^WW}|whenever you cast a noncreature spell, you gain &^^ life.|

|stampede||instant||||{^GGGG}|attacking creatures get +&^/+& and gain trample until end of turn.|

|seeker of the way||creature||human warrior|&^^/&^^|{^WW}|prowess\whenever you cast a noncreature spell, @ gains lifelink until end of turn.|

|razing snidd||creature||beast|&^^^/&^^^|{^^^^BBRR}|when @ enters the battlefield, return a black or red creature you control to its owner's hand.\when @ enters the battlefield, each player sacrifices a land.|

|chain stasis||instant||||{UU}|you may tap or untap target creature. then that creature's controller may pay {^^UU}. if the player does, he or she may copy this spell and may choose a new target for that copy.|

|iizuka the ruthless|legendary|creature||human samurai|&^^^/&^^^|{^^^RRRR}|bushido &^^\{^^RR}, sacrifice a samurai: samurai creatures you control gain double strike until end of turn.|

|nameless one||creature||wizard avatar|*/*|{^^^UU}|morph {^^UU}\@'s power and toughness are each equal to the number of wizards on the battlefield.|

|witch engine||creature||horror|&^^^^/&^^^^|{^^^^^BB}|swampwalk\T: add {BBBBBBBB} to your mana pool. target opponent gains control of @.|

|voice of law||creature||angel|&^^/&^^|{^^^WW}|flying\protection from red|

|nath's elite||creature||elf warrior|&^^^^/&^^|{^^^^GG}|all creatures able to block @ do so.\when @ enters the battlefield, clash with an opponent. if you win, put a +&^/+&^ counter on @.|

|land grant||sorcery||||{^GG}|if you have no land cards in hand, you may reveal your hand rather than pay @'s mana cost.\search your library for a forest card, reveal that card, and put it into your hand. then shuffle your library.|

|graveborn muse||creature||zombie spirit|&^^^/&^^^|{^^BBBB}|at the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of zombies you control.|

|lightning blast||instant||||{^^^RR}|@ deals &^^^^ damage to target creature or player.|

|words of wind||enchantment||||{^^UU}|{^}: the next time you would draw a card this turn, each player returns a permanent he or she controls to its owner's hand instead.|

|dauthi cutthroat||creature||dauthi minion|&^/&^|{^BB}|shadow\{^BB}, T: destroy target creature with shadow.|

|casting of bones||enchantment||aura||{^^BB}|enchant creature\when enchanted creature dies, draw three cards, then discard one of them.|

|vulshok gauntlets||artifact||equipment||{^^}|equip {^^^}\equipped creature gets +&^^^^/+&^^ and doesn't untap during its controller's untap step.|

|hatching plans||enchantment||||{^UU}|when @ is put into a graveyard from the battlefield, draw three cards.|

|cerulean wisps||instant||||{UU}|target creature becomes blue until end of turn. untap that creature.\draw a card.|

|blaze of glory||instant||||{WW}|cast @ only during combat before blockers are declared.\target creature defending player controls can block any number of creatures this turn. it blocks each attacking creature this turn if able.|

|cateran overlord||creature||horror mercenary|&^^^^^^^/&^^^^^|{^^^^BBBBBB}|sacrifice a creature: regenerate @.\{^^^^^^}, T: search your library for a mercenary permanent card with converted mana cost &^^^^^^ or less and put it onto the battlefield. then shuffle your library.|

|purge||instant||||{^WW}|destroy target artifact creature or black creature. it can't be regenerated.|

|moonsilver spear||artifact||equipment||{^^^^}|equip {^^^^}\equipped creature has first strike.\whenever equipped creature attacks, put a &^^^^/&^^^^ white angel creature token with flying onto the battlefield.|

|calcite snapper||creature||turtle|&^/&^^^^|{^UUUU}|shroud\landfall ~ whenever a land enters the battlefield under your control, you may switch @'s power and toughness until end of turn.|

|roots of life||enchantment||||{^GGGG}|as @ enters the battlefield, choose island or swamp.\whenever a land of the chosen type an opponent controls becomes tapped, you gain &^ life.|

|orgg||creature||orgg|&^^^^^^/&^^^^^^|{^^^RRRR}|trample\@ can't attack if defending player controls an untapped creature with power &^^^ or greater.\@ can't block creatures with power &^^^ or greater.|

|primal bellow||instant||||{GG}|target creature gets +&^/+&^ until end of turn for each forest you control.|

|etherwrought page||artifact||||{^WWUUBB}|at the beginning of your upkeep, [&^ = you gain &^^ life. = look at the top card of your library. you may put that card into your graveyard. = each opponent loses &^ life.]|

|guan yu's one thousand~li march||sorcery||||{^^^^WWWW}|destroy all tapped creatures.|

|soratami mirror~mage||creature||moonfolk wizard|&^^/&^|{^^^UU}|flying\{^^^}, return three lands you control to their owner's hand: return target creature to its owner's hand.|

|fauna shaman||creature||elf shaman|&^^/&^^|{^GG}|{GG}, T, discard a creature card: search your library for a creature card, reveal it, and put it into your hand. then shuffle your library.|

|nighthaze||sorcery||||{BB}|target creature gains swampwalk until end of turn.\draw a card.|

|aura blast||instant||||{^WW}|destroy target enchantment.\draw a card.|

|ferocity||enchantment||aura||{^GG}|enchant creature\whenever enchanted creature blocks or becomes blocked, you may put a +&^/+&^ counter on it.|

|magma jet||instant||||{^RR}|@ deals &^^ damage to target creature or player. scry &^^.|

|inquisition||sorcery||||{^^BB}|target player reveals his or her hand. @ deals damage to that player equal to the number of white cards in his or her hand.|

|savra, queen of the golgari|legendary|creature||elf shaman|&^^/&^^|{^^BBGG}|whenever you sacrifice a black creature, you may pay &^^ life. if you do, each other player sacrifices a creature.\whenever you sacrifice a green creature, you may gain &^^ life.|

|tolarian serpent||creature||serpent|&^^^^^^^/&^^^^^^^|{^^^^^UUUU}|at the beginning of your upkeep, put the top seven cards of your library into your graveyard.|

|onslaught||enchantment||||{RR}|whenever you cast a creature spell, tap target creature.|

|vindictive mob||creature||human berserker|&^^^^^/&^^^^^|{^^^^BBBB}|when @ enters the battlefield, sacrifice a creature.\@ can't be blocked by saprolings.|

|insidious bookworms||creature||worm|&^/&^|{BB}|when @ dies, you may pay {^BB}. if you do, target player discards a card at random.|

|exquisite blood||enchantment||||{^^^^BB}|whenever an opponent loses life, you gain that much life.|

|kjeldoran war cry||instant||||{^WW}|creatures you control get +X/+X until end of turn, where X is &^ plus the number of cards named @ in all graveyards.|

|divine reckoning||sorcery||||{^^WWWW}|flashback {^^^^^WWWW}\each player chooses a creature he or she controls. destroy the rest.|

|staff of the mind magus||artifact||||{^^^}|whenever you cast a blue spell or an island enters the battlefield under your control, you gain &^ life.|

|scourge of skola vale||creature||hydra|&/&|{^^GG}|trample\@ enters the battlefield with two +&^/+&^ counters on it.\T, sacrifice another creature: put a number of +&^/+&^ counters on @ equal to the sacrificed creature's toughness.|

|desperate charge||sorcery||||{^^BB}|creatures you control get +&^^/+& until end of turn.|

|gleeful sabotage||sorcery||||{^GG}|conspire\destroy target artifact or enchantment.|

|hell's caretaker||creature||horror|&^/&^|{^^^BB}|T, sacrifice a creature: return target creature card from your graveyard to the battlefield. activate this ability only during your upkeep.|

|hoverguard observer||creature||drone|&^^^/&^^^|{^^UUUU}|flying\@ can block only creatures with flying.|

|rally||instant||||{WWWW}|blocking creatures get +&^/+&^ until end of turn.|

|armored warhorse||creature||horse|&^^/&^^^|{WWWW}||

|regeneration||enchantment||aura||{^GG}|enchant creature\{GG}: regenerate enchanted creature.|

|morgue toad||creature||frog|&^^/&^^|{^^BB}|sacrifice @: add {UURR} to your mana pool.|

|highland giant||creature||giant|&^^^/&^^^^|{^^RRRR}||

|bathe in dragonfire||sorcery||||{^^RR}|@ deals &^^^^ damage to target creature.|

|dismantle||sorcery||||{^^RR}|destroy target artifact. if that artifact had counters on it, put that many +&^/+&^ counters or % counters on an artifact you control.\countertype % charge|

|goblin sharpshooter||creature||goblin|&^/&^|{^^RR}|@ doesn't untap during your untap step.\whenever a creature dies, untap @.\T: @ deals &^ damage to target creature or player.|

|juxtapose||sorcery||||{^^^UU}|you and target player exchange control of the creature you each control with the highest converted mana cost. then exchange control of artifacts the same way. if two or more permanents a player controls are tied for highest cost, their controller chooses one of them.|

|peat bog||land|||||@ enters the battlefield tapped with two % counters on it.\T, remove a % counter from @: add {BBBB} to your mana pool. if there are no % counters on @, sacrifice it.\countertype % depletion|

|bounding krasis||creature||fish lizard|&^^^/&^^^|{^GGUU}|flash\when @ enters the battlefield, you may tap or untap target creature.|

|fathom seer||creature||illusion|&^/&^^^|{^UU}|morph~return two islands you control to their owner's hand.\when @ is turned face up, draw two cards.|

|scent of jasmine||instant||||{WW}|reveal any number of white cards in your hand. you gain &^^ life for each card revealed this way.|

|sea serpent||creature||serpent|&^^^^^/&^^^^^|{^^^^^UU}|@ can't attack unless defending player controls an island.\when you control no islands, sacrifice @.|

|nyxborn triton||enchantment creature||merfolk|&^^/&^^^|{^^UU}|bestow {^^^^UU}\enchanted creature gets +&^^/+&^^^.|

|hedron alignment||enchantment||||{^^UU}|hexproof\at the beginning of your upkeep, you may reveal your hand. if you do, you win the game if you own a card named @ in exile, in your hand, in your graveyard, and on the battlefield.\{^UU}: scry &^.|

|tormented soul||creature||spirit|&^/&^|{BB}|@ can't block and can't be blocked.|

|halberdier||creature||human barbarian|&^^^/&^|{^^^RR}|first strike|

|order of the ebon hand||creature||cleric knight|&^^/&^|{BBBB}|protection from white\{BB}: @ gains first strike until end of turn.\{BBBB}: @ gets +&^/+& until end of turn.|

|capashen templar||creature||human knight|&^^/&^^|{^^WW}|{WW}: @ gets +&/+&^ until end of turn.|

|ghost~lit raider||creature||spirit|&^^/&^|{^^RR}|{^^RR}, T: @ deals &^^ damage to target creature.\channel ~ {^^^RR}, discard @: @ deals &^^^^ damage to target creature.|

|gloryscale viashino||creature||viashino soldier|&^^^/&^^^|{^RRGGWW}|whenever you cast a multicolored spell, @ gets +&^^^/+&^^^ until end of turn.|

|oboro envoy||creature||moonfolk wizard|&^/&^^^|{^^^UU}|flying\{^^}, return a land you control to its owner's hand: target creature gets -X/-& until end of turn, where X is the number of cards in your hand.|

|conqueror's pledge||sorcery||||{^^WWWWWW}|put six &^/&^ white kor soldier creature tokens onto the battlefield. if @ was kicked, put twelve of those tokens onto the battlefield instead.\kicker {^^^^^^}|

|noble templar||creature||human cleric soldier|&^^^/&^^^^^^|{^^^^^WW}|vigilance\plainscycling {^^}|

|wolfir silverheart||creature||wolf warrior|&^^^^/&^^^^|{^^^GGGG}|soulbond\as long as @ is paired with another creature, each of those creatures gets +&^^^^/+&^^^^.|

|marrow bats||creature||bat skeleton|&^^^^/&^|{^^^^BB}|flying\pay &^^^^ life: regenerate @.|

|amphin pathmage||creature||salamander wizard|&^^^/&^^|{^^^UU}|{^^UU}: target creature can't be blocked this turn.|

|earthen arms||sorcery||||{^GG}|awaken &^^^^~{^^^^^^GG}\put two +&^/+&^ counters on target permanent.|

|telim'tor|legendary|creature||human knight|&^^/&^^|{^^^^RR}|flanking\whenever @ attacks, all attacking creatures with flanking get +&^/+&^ until end of turn.|

|angus mackenzie|legendary|creature||human cleric|&^^/&^^|{GGWWUU}|{GGWWUU}, T: prevent all combat damage that would be dealt this turn. activate this ability only before the combat damage step.|

|psychotic episode||sorcery||||{^BBBB}|madness {^BB}\target player reveals his or her hand and the top card of his or her library. you choose a card revealed this way. that player puts the chosen card on the bottom of his or her library.|

|thornscape battlemage||creature||elf wizard|&^^/&^^|{^^GG}|when @ enters the battlefield, if it was kicked with its {RR} kicker, it deals &^^ damage to target creature or player.\when @ enters the battlefield, if it was kicked with its {WW} kicker, destroy target artifact.\kicker {RR} and/or {WW}|

|shrine of limitless power||artifact||||{^^^}|at the beginning of your upkeep or whenever you cast a black spell, put a % counter on @.\{^^^^}, T, sacrifice @: target player discards a card for each % counter on @.\countertype % charge|

|genju of the realm|legendary|enchantment||aura||{WWUUBBRRGG}|enchant land\{^^}: enchanted land becomes a legendary &^^^^^^^^/&^^^^^^^^^^^^ spirit creature with trample until end of turn. it's still a land.\when enchanted land is put into a graveyard, you may return @ from your graveyard to your hand.|

|pardic lancer||creature||human barbarian|&^^^/&^^|{^^^^RR}|discard a card at random: @ gets +&^/+& and gains first strike until end of turn.|

|murasa pyromancer||creature||human shaman ally|&^^^/&^^|{^^^^RRRR}|whenever @ or another ally enters the battlefield under your control, you may have @ deal damage to target creature equal to the number of allies you control.|

|raise the alarm||instant||||{^WW}|put two &^/&^ white soldier creature tokens onto the battlefield.|

|extruder||artifact creature||juggernaut|&^^^^/&^^^|{^^^^}|echo {^^^^}\sacrifice an artifact: put a +&^/+&^ counter on target creature.|

|burning oil||instant||||{^RR}|flashback {^^^WW}\@ deals &^^^ damage to target attacking or blocking creature.|

|cackling flames||instant||||{^^^RR}|@ deals &^^^ damage to target creature or player.\hellbent ~ @ deals &^^^^^ damage to that creature or player instead if you have no cards in hand.|

|braidwood cup||artifact||||{^^^}|T: you gain &^ life.|

|mistfire adept||creature||human monk|&^^^/&^^^|{^^^UU}|prowess\whenever you cast a noncreature spell, target creature gains flying until end of turn.|

|spell syphon||instant||||{^UU}|uncast target spell unless its controller pays {^} for each blue permanent you control.|

|carnage wurm||creature||wurm|&^^^^^^/&^^^^^^|{^^^^^^GG}|bloodthirst &^^^\trample|

|sultai banner||artifact||||{^^^}|T: add {BB}, {GG}, or {UU} to your mana pool.\{BBGGUU}, T, sacrifice @: draw a card.|

|swooping talon||creature||bird soldier|&^^/&^^^^^^|{^^^^WWWW}|flying\provoke\{^}: @ loses flying until end of turn.|

|volrath's laboratory||artifact||||{^^^^^}|as @ enters the battlefield, choose a color and a creature type.\{^^^^^}, T: put a &^^/&^^ creature token of the chosen color and type onto the battlefield.|

|southern elephant||creature||elephant|&^^^/&^^^^|{^^^GG}||

|gore vassal||creature||hound|&^^/&^|{^^WW}|sacrifice @: put a -&^/-&^ counter on target creature. then if that creature's toughness is &^ or greater, regenerate it.|

|bant charm||instant||||{GGWWUU}|[&^ = destroy target artifact. = put target creature on the bottom of its owner's library. = uncast target instant spell.]|

|maelstrom nexus||enchantment||||{WWUUBBRRGG}|the first spell you cast each turn has cascade.|

|amulet of vigor||artifact||||{^}|whenever a permanent enters the battlefield tapped and under your control, untap it.|

|dune~brood nephilim||creature||nephilim|&^^^/&^^^|{BBRRGGWW}|whenever @ deals combat damage to a player, put a &^/&^ colorless sand creature token onto the battlefield for each land you control.|

|devastation tide||sorcery||||{^^^UUUU}|miracle {^UU}\return all nonland permanents to their owners' hands.|

|rout||sorcery||||{^^^WWWW}|you may cast @ as though it had flash if you pay {^^} more to cast it.\destroy all creatures. they can't be regenerated.|

|soratami mindsweeper||creature||moonfolk wizard|&^/&^^^^|{^^^UU}|flying\{^^}, return a land you control to its owner's hand: target player puts the top two cards of his or her library into his or her graveyard.|

|mana drain||instant||||{UUUU}|uncast target spell. at the beginning of your next main phase, add an amount of {CC} to your mana pool equal to that spell's converted mana cost.|

|personal incarnation||creature||avatar incarnation|&^^^^^^/&^^^^^^|{^^^WWWWWW}|{}: the next &^ damage that would be dealt to @ this turn is dealt to its owner instead. any player may activate this ability, but only if he or she owns @.\when @ dies, its owner loses half his or her life, rounded up.|

|contested war zone||land|||||whenever a creature deals combat damage to you, that creature's controller gains control of @.\T: add {CC} to your mana pool.\{^}, T: attacking creatures get +&^/+& until end of turn.|

|grim haruspex||creature||human wizard|&^^^/&^^|{^^BB}|morph {BB}\whenever another nontoken creature you control dies, draw a card.|

|primeval titan||creature||giant|&^^^^^^/&^^^^^^|{^^^^GGGG}|trample\whenever @ enters the battlefield or attacks, you may search your library for up to two land cards, put them onto the battlefield tapped, then shuffle your library.|

|ragamuffyn||creature||zombie cleric|&^^/&^^|{^^BB}|hellbent ~ T, sacrifice a creature or land: draw a card. activate this ability only if you have no cards in hand.|

|silent sentinel||creature||archon|&^^^^/&^^^^^^|{^^^^^WWWW}|flying\whenever @ attacks, you may return target enchantment card from your graveyard to the battlefield.|

|precursor golem||artifact creature||golem|&^^^/&^^^|{^^^^^}|when @ enters the battlefield, put two &^^^/&^^^ colorless golem artifact creature tokens onto the battlefield.\whenever a player casts an instant or sorcery spell that targets only a single golem, that player copies that spell for each other golem that spell could target. each copy targets a different one of those golems.|

|felidar cub||creature||cat beast|&^^/&^^|{^WW}|sacrifice @: destroy target enchantment.|

|hive mind||enchantment||||{^^^^^UU}|whenever a player casts an instant or sorcery spell, each other player copies that spell. each of those players may choose new targets for his or her copy.|

|mistfire weaver||creature||djinn wizard|&^^^/&^|{^^^UU}|flying\morph {^^UU}\when @ is turned face up, target creature you control gains hexproof until end of turn.|

|fusion elemental||creature||elemental|&^^^^^^^^/&^^^^^^^^|{WWUUBBRRGG}||

|erase||instant||||{WW}|exile target enchantment.|

|demonic pact||enchantment||||{^^BBBB}|at the beginning of your upkeep\choose one that hasn't been chosen ~\= @ deals &^^^^ damage to target creature or player and you gain &^^^^ life.\= target opponent discards two cards.\= draw two cards.\= you lose the game.|

|tomb of urami|legendary|land|||||T: add {BB} to your mana pool. @ deals &^ damage to you if you don't control an ogre.\{^^BBBB}, T, sacrifice all lands you control: put a legendary &^^^^^/&^^^^^ black demon spirit creature token with flying named urami onto the battlefield.|

|meteor storm||enchantment||||{RRGG}|{^^RRGG}, discard two cards at random: @ deals &^^^^ damage to target creature or player.|

|sandstone needle||land|||||@ enters the battlefield tapped with two % counters on it.\T, remove a % counter from @: add {RRRR} to your mana pool. if there are no % counters on @, sacrifice it.\countertype % depletion|

|ridgeline rager||creature||beast|&^/&^^|{^^RR}|{RR}: @ gets +&^/+& until end of turn.|

|oxidda daredevil||creature||goblin artificer|&^^/&^|{^RR}|sacrifice an artifact: @ gains haste until end of turn.|

|swirling sandstorm||sorcery||||{^^^RR}|threshold ~ @ deals &^^^^^ damage to each creature without flying if seven or more cards are in your graveyard.|

|repulse||instant||||{^^UU}|return target creature to its owner's hand.\draw a card.|

|ichorid||creature||horror|&^^^/&^|{^^^BB}|haste\at the beginning of the end step, sacrifice @.\at the beginning of your upkeep, if @ is in your graveyard, you may exile a black creature card other than @ from your graveyard. if you do, return @ to the battlefield.|

|summit prowler||creature||yeti|&^^^^/&^^^|{^^RRRR}||

|uncontrolled infestation||enchantment||aura||{^RR}|enchant nonbasic land\when enchanted land becomes tapped, destroy it.|

|jabari's banner||artifact||||{^^}|{^}, T: target creature gains flanking until end of turn.|

|wellwisher||creature||elf|&^/&^|{^GG}|T: you gain &^ life for each elf on the battlefield.|

|null chamber|world|enchantment||||{^^^WW}|as @ enters the battlefield, you and an opponent each name a card other than a basic land card.\the named cards can't be played.|

|drogskol captain||creature||spirit soldier|&^^/&^^|{^WWUU}|flying\other spirit creatures you control get +&^/+&^ and have hexproof.|

|stern marshal||creature||human soldier|&^^/&^^|{^^WW}|T: target creature gets +&^^/+&^^ until end of turn. activate this ability only during your turn, before attackers are declared.|

|beckon apparition||instant||||{WB}|exile target card from a graveyard. put a &^/&^ white and black spirit creature token with flying onto the battlefield.|

|ancient crab||creature||crab|&^/&^^^^^|{^UUUU}||

|ghostly touch||enchantment||aura||{^UU}|enchant creature\enchanted creature has "whenever this creature attacks, you may tap or untap target permanent."|

|mesa enchantress||creature||human druid|&/&^^|{^WWWW}|whenever you cast an enchantment spell, you may draw a card.|

|mijae djinn||creature||djinn|&^^^^^^/&^^^|{RRRRRR}|whenever @ attacks, flip a coin. if you lose the flip, remove @ from combat and tap it.|

|merchant ship||creature||human|&/&^^|{UU}|@ can't attack unless defending player controls an island.\whenever @ attacks and isn't blocked, you gain &^^ life.\when you control no islands, sacrifice @.|

|conflux||sorcery||||{^^^WWUUBBRRGG}|search your library for a white card, a blue card, a black card, a red card, and a green card. reveal those cards and put them into your hand. then shuffle your library.|

|sea sprite||creature||faerie|&^/&^|{^UU}|flying\protection from red|

|duskmantle guildmage||creature||human wizard|&^^/&^^|{UUBB}|{^UUBB}: whenever a card is put into an opponent's graveyard from anywhere this turn, that player loses &^ life.\{^^UUBB}: target player puts the top two cards of his or her library into his or her graveyard.|

|instill furor||enchantment||aura||{^RR}|enchant creature\enchanted creature has "at the beginning of your end step, sacrifice this creature unless it attacked this turn."|

|merciless executioner||creature||orc warrior|&^^^/&^|{^^BB}|when @ enters the battlefield, each player sacrifices a creature.|

|dredge||instant||||{BB}|sacrifice a creature or land.\draw a card.|

|galvanic key||artifact||||{^^}|flash\{^^^}, T: untap target artifact.|

|undead servant||creature||zombie|&^^^/&^^|{^^^BB}|when @ enters the battlefield, put a &^^/&^^ black zombie creature token onto the battlefield for each card named @ in your graveyard.|

|raging river||enchantment||||{RRRR}|whenever one or more creatures you control attack, each defending player divides all creatures without flying he or she controls into a "left" pile and a "right" pile. then, for each attacking creature you control, choose "left" or "right." that creature can't be blocked this combat except by creatures with flying and creatures in a pile with the chosen label.|

|merfolk wayfinder||creature||merfolk scout|&^/&^^|{^^UU}|flying\when @ enters the battlefield, reveal the top three cards of your library. put all island cards revealed this way into your hand and the rest on the bottom of your library in any order.|

|wild griffin||creature||griffin|&^^/&^^|{^^WW}|flying|

|devour in flames||sorcery||||{^^RR}|as an additional cost to cast @, return a land you control to its owner's hand.\@ deals &^^^^^ damage to target creature or planeswalker.|

|skullclamp||artifact||equipment||{^}|equip {^}\equipped creature gets +&^/-&^.\whenever equipped creature dies, draw two cards.|

|elite cat warrior||creature||cat warrior|&^^/&^^^|{^^GG}|forestwalk|

|krosan tusker||creature||boar beast|&^^^^^^/&^^^^^|{^^^^^GGGG}|cycling {^^GG}\when you cycle @, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle your library.|

|creeping corrosion||sorcery||||{^^GGGG}|destroy all artifacts.|

|eternal flame||sorcery||||{^^RRRR}|@ deals X damage to target opponent, where X is the number of mountains you control. it deals half X damage, rounded up, to you.|

|goblin test pilot||creature||goblin wizard|&/&^^|{^UURR}|flying\T: @ deals &^^ damage to target creature or player chosen at random.|

|kami of the tended garden||creature||spirit|&^^^^/&^^^^|{^^^GG}|soulshift &^^^\at the beginning of your upkeep, sacrifice @ unless you pay {GG}.|

|goblin brigand||creature||goblin warrior|&^^/&^^|{^RR}|@ attacks each turn if able.|

|shatterskull giant||creature||giant warrior|&^^^^/&^^^|{^^RRRR}||

|jagged lightning||sorcery||||{^^^RRRR}|@ deals &^^^ damage to each of two target creatures.|

|fledgling osprey||creature||bird|&^/&^|{UU}|@ has flying as long as it's enchanted.|

|tyrant's machine||artifact||||{^^}|{^^^^}, T: tap target creature.|

|granite gargoyle||creature||gargoyle|&^^/&^^|{^^RR}|flying\{RR}: @ gets +&/+&^ until end of turn.|

|rise of eagles||sorcery||||{^^^^UUUU}|put two &^^/&^^ blue bird enchantment creature tokens with flying onto the battlefield. scry &^.|

|caravan vigil||sorcery||||{GG}|search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.\morbid ~ you may put that card onto the battlefield instead of putting it into your hand if a creature died this turn.|

|sunseed nurturer||creature||human druid wizard|&^/&^|{^^WW}|at the beginning of your end step, if you control a creature with power &^^^^^ or greater, you may gain &^^ life.\T: add {CC} to your mana pool.|

|curse of the pierced heart||enchantment||aura curse||{^RR}|enchant player\at the beginning of enchanted player's upkeep, @ deals &^ damage to that player.|

|gruesome slaughter||sorcery||||{^^^^^^}|until end of turn, colorless creatures you control gain "T: this creature deals damage equal to its power to target creature."|

|sacred foundry||land||mountain plains|||\as @ enters the battlefield, you may pay &^^ life. if you don't, @ enters the battlefield tapped.|

|bloodcrazed hoplite||creature||human soldier|&^^/&^|{^BB}|heroic ~ whenever you cast a spell that targets @, put a +&^/+&^ counter on it.\whenever a +&^/+&^ counter is placed on @, remove a +&^/+&^ counter from target creature an opponent controls.|

|zombie musher|snow|creature||zombie|&^^/&^^^|{^^^BB}|snow landwalk\{SS}: regenerate @.|

|withstand||instant||||{^^WW}|prevent the next &^^^ damage that would be dealt to target creature or player this turn.\draw a card.|

|garruk's packleader||creature||beast|&^^^^/&^^^^|{^^^^GG}|whenever another creature with power &^^^ or greater enters the battlefield under your control, you may draw a card.|

|yavimaya wurm||creature||wurm|&^^^^^^/&^^^^|{^^^^GGGG}|trample|

|baron sengir|legendary|creature||vampire|&^^^^^/&^^^^^|{^^^^^BBBBBB}|flying\whenever a creature dealt damage by @ this turn dies, put a +&^^/+&^^ counter on @.\T: regenerate another target vampire.|

|sorin's thirst||instant||||{BBBB}|@ deals &^^ damage to target creature and you gain &^^ life.|

|jhoira's timebug||artifact creature||insect|&^/&^^|{^^}|T: choose target permanent you control or suspended card you own. if that permanent or card has a % counter on it, you may remove a % counter from it or put another % counter on it.\countertype % time|

|citanul druid||creature||human druid|&^/&^|{^GG}|whenever an opponent casts an artifact spell, put a +&^/+&^ counter on @.|

|cantivore||creature||lhurgoyf|*/*|{^WWWW}|vigilance\@'s power and toughness are each equal to the number of enchantment cards in all graveyards.|

|krovikan scoundrel||creature||human rogue|&^^/&^|{^BB}||

|skeletal wurm||creature||skeleton wurm|&^^^^^^^/&^^^^^^|{^^^^^^^BB}|{BB}: regenerate @.|

|encircling fissure||instant||||{^^WW}|awaken &^^~{^^^^WW}\prevent all combat damage that would be dealt this turn by creatures target opponent controls.|

|fanning the flames||sorcery||||{XXRRRR}|buyback {^^^}\@ deals X damage to target creature or player.|

|chromeshell crab||creature||crab beast|&^^^/&^^^|{^^^^UU}|morph {^^^^UU}\when @ is turned face up, you may exchange control of target creature you control and target creature an opponent controls.|

|vedalken shackles||artifact||||{^^^}|you may choose not to untap @ during your untap step.\{^^}, T: gain control of target creature with power less than or equal to the number of islands you control for as long as @ remains tapped.|

|molten frame||instant||||{^RR}|cycling {^^}\destroy target artifact creature.|

|restless apparition||creature||spirit|&^^/&^^|{WBWBWB}|persist\{WBWBWB}: @ gets +&^^^/+&^^^ until end of turn.|

|dream cache||sorcery||||{^^UU}|draw three cards, then put two cards from your hand both on top of your library or both on the bottom of your library.|

